function,start_x,start_y,learning_rate,iterations,converged,final_x,final_y,final_f,runtime_seconds
quadratic,-2.0,2.0,0.001,2000,False,-0.03648485044750143,0.03648485044750143,0.0026622886243530906,0.008853400009684265
quadratic,-2.0,2.0,0.01,543,True,-3.44182747176025e-05,3.44182747176025e-05,2.3692352690727113e-09,0.002769299957435578
quadratic,-2.0,2.0,0.1,61,True,-2.4519928653854235e-06,2.4519928653854235e-06,1.202453802380204e-11,0.0002992000081576407
quadratic,0.5,-1.5,0.001,2000,False,0.009121212611875358,-0.027363637835626137,0.0008319651951103444,0.008413000032305717
quadratic,0.5,-1.5,0.01,514,True,1.5458697906035745e-05,-4.637609371810725e-05,2.3897134095007404e-09,0.0022539999918080866
quadratic,0.5,-1.5,0.1,58,True,1.1972621413014761e-06,-3.5917864239044296e-06,1.4334366349937967e-11,0.00028550002025440335
quadratic,3.0,3.0,0.001,2000,False,0.054727275671252275,0.054727275671252275,0.005990149404794482,0.008601800014730543
quadratic,3.0,3.0,0.01,563,True,3.44668718632924e-05,3.44668718632924e-05,2.375930512081235e-09,0.002520299982279539
quadratic,3.0,3.0,0.1,63,True,2.3539131507700072e-06,2.3539131507700072e-06,1.1081814242735966e-11,0.00030939996941015124
rosenbrock,-2.0,2.0,0.001,2000,False,0.6422753442498521,0.41078069758635527,0.1282686185252799,0.009412899962626398
rosenbrock,-2.0,2.0,0.01,6,False,-inf,4.859149909389044e+233,nan,0.00039980001747608185
rosenbrock,-2.0,2.0,0.1,6,False,-inf,inf,nan,0.009050499997101724
rosenbrock,0.5,-1.5,0.001,2000,False,0.8219978932631938,0.6748895676377492,0.031747313181454385,0.009246400033589453
rosenbrock,0.5,-1.5,0.01,7,False,-inf,inf,nan,8.00999696366489e-05
rosenbrock,0.5,-1.5,0.1,6,False,inf,inf,nan,5.8800040278583765e-05
rosenbrock,3.0,3.0,0.001,8,False,inf,inf,nan,5.010003224015236e-05
rosenbrock,3.0,3.0,0.01,6,False,inf,inf,nan,3.759999526664615e-05
rosenbrock,3.0,3.0,0.1,6,False,inf,inf,nan,5.8699981309473515e-05
cosine_bumps,-2.0,2.0,0.001,877,True,-2.5956732080482587,2.5956732080482587,-3.617966637879954,0.004101700033061206
cosine_bumps,-2.0,2.0,0.01,106,True,-2.595733641826569,2.595733641826569,-3.617966683331062,0.0005262000486254692
cosine_bumps,-2.0,2.0,0.1,6,True,-2.5957391040564364,2.5957391040564364,-3.617966683642928,7.509998977184296e-05
cosine_bumps,0.5,-1.5,0.001,1096,True,2.595646533264417,-2.5957238847991557,-3.6179666372600927,0.005419299995992333
cosine_bumps,0.5,-1.5,0.01,128,True,2.5957312713879013,-2.595737946540964,-3.6179666833146484,0.0006307000294327736
cosine_bumps,0.5,-1.5,0.1,9,True,2.5957390932773925,-2.5957390796851874,-3.6179666836429316,8.38999985717237e-05
cosine_bumps,3.0,3.0,0.001,814,True,2.59580534003918,2.59580534003918,-3.6179666373371475,0.004041599982883781
cosine_bumps,3.0,3.0,0.01,99,True,2.5957450201025916,2.5957450201025916,-3.617966683270744,0.000541799992788583
cosine_bumps,3.0,3.0,0.1,6,True,2.5957390994210905,2.5957390994210905,-3.617966683642928,7.259997073560953e-05
