function,start_x,start_y,learning_rate,iterations,converged,final_x,final_y,final_f,runtime_seconds
quadratic,-2.0,2.0,0.25,48,True,-2.0135881117402228e-06,2.0135881117402228e-06,8.109074167483112e-12,0.0005380999646149576
quadratic,-2.0,2.0,0.5,22,True,-4.76837158203125e-07,4.76837158203125e-07,4.547473508864641e-13,0.0003780000261031091
quadratic,-2.0,2.0,1.0,2,True,0.0,0.0,0.0,8.460000390186906e-05
quadratic,0.5,-1.5,0.25,46,True,8.949280496623213e-07,-2.684784148986964e-06,8.008962140724062e-12,0.000596800004132092
quadratic,0.5,-1.5,0.5,21,True,2.384185791015625e-07,-7.152557373046875e-07,5.684341886080801e-13,0.000228599994443357
quadratic,0.5,-1.5,1.0,2,True,0.0,0.0,0.0,7.750000804662704e-05
quadratic,3.0,3.0,0.25,50,True,1.6989649692808128e-06,1.6989649692808128e-06,5.7729639336867066e-12,0.00045300001511350274
quadratic,3.0,3.0,0.5,23,True,3.5762786865234375e-07,3.5762786865234375e-07,2.5579538487363607e-13,0.0002948999754153192
quadratic,3.0,3.0,1.0,2,True,0.0,0.0,0.0,7.740000728517771e-05
rosenbrock,-2.0,2.0,0.25,102,True,0.9999987214470106,0.9999974033285001,1.7912537291100161e-12,0.0009910999797284603
rosenbrock,-2.0,2.0,0.5,54,True,0.9999996420031813,0.9999992679238326,1.540269110118396e-13,0.0005581000004895031
rosenbrock,-2.0,2.0,1.0,6,True,1.0,1.0,0.0,0.00011109997285529971
rosenbrock,0.5,-1.5,0.25,70,True,0.9999987368538493,0.9999974345953684,1.7485281168427642e-12,0.0007514000171795487
rosenbrock,0.5,-1.5,0.5,34,True,0.9999997215798014,0.9999994306519205,9.316221255891649e-14,0.00036859995452687144
rosenbrock,0.5,-1.5,1.0,5,True,1.0,1.0,0.0,0.00011110003106296062
rosenbrock,3.0,3.0,0.25,95,True,1.0000012776572043,1.000002515776607,1.7887446152925637e-12,0.0009182000067085028
rosenbrock,3.0,3.0,0.5,49,True,1.00000029370995,1.0000005742253497,1.0367537790233544e-13,0.00047740002628415823
rosenbrock,3.0,3.0,1.0,6,True,1.0,1.0,0.0,0.00011740002082660794
cosine_bumps,-2.0,2.0,0.25,43,True,-2.595737225733543,2.595737225733543,-3.6179666836066833,0.0004561999812722206
cosine_bumps,-2.0,2.0,0.5,19,True,-2.59573845453074,2.59573845453074,-3.6179666836388105,0.00023930001771077514
cosine_bumps,-2.0,2.0,1.0,5,True,-2.595739079649799,2.595739079649799,-3.6179666836429316,0.00011560000712051988
cosine_bumps,0.5,-1.5,0.25,43,True,1.952722239046819e-06,-2.5957406117949926,8.191016658175661,0.00048149999929592013
cosine_bumps,0.5,-1.5,0.5,21,True,2.0415425032932045e-07,-2.595739870096827,8.191016658181661,0.0002492000348865986
cosine_bumps,0.5,-1.5,1.0,198,True,0.0,-2.595739079649799,8.191016658178533,0.0018561999895609915
cosine_bumps,3.0,3.0,0.25,43,True,2.5957409618579073,2.5957409618579073,-3.6179666836055677,0.0005215999553911388
cosine_bumps,3.0,3.0,0.5,20,True,2.5957395183432355,2.5957395183432355,-3.617966683640903,0.0002938000252470374
cosine_bumps,3.0,3.0,1.0,4,True,2.595739079649799,2.595739079649799,-3.6179666836429316,9.759998647496104e-05
